193,46710,전라남도,담양군
194,46720,전라남도,곡성군
195,46730,전라남도,구례군
196,46770,전라남도,고흥군
197,46780,전라남도,보성군
198,46790,전라남도,화순군
199,46800,전라남도,장흥군
200,46810,전라남도,강진군
201,46820,전라남도,해남군
202,46830,전라남도,영암군
203,46840,전라남도,무안군
204,46860,전라남도,함평군
205,46870,전라남도,영광군
206,46880,전라남도,장성군
207,46890,전라남도,완도군
208,46900,전라남도,진도군
209,46910,전라남도,신안군
210,47110,경상북도,포항시
211,47130,경상북도,경주시
212,47150,경상북도,김천시
213,47170,경상북도,안동시
214,47190,경상북도,구미시
215,47210,경상북도,영주시
216,47230,경상북도,영천시
217,47250,경상북도,상주시
218,47280,경상북도,문경시
219,47290,경상북도,경산시
220,47720,경상북도,군위군
221,47730,경상북도,의성군
222,47750,경상북도,청송군
223,47760,경상북도,영양군
224,47770,경상북도,영덕군
225,47820,경상북도,청도군
226,47830,경상북도,고령군
227,47840,경상북도,성주군
228,47850,경상북도,칠곡군
229,47900,경상북도,예천군
230,47920,경상북도,봉화군
231,47930,경상북도,울진군
232,47940,경상북도,울릉군
233,48120,경상남도,창원시
234,48170,경상남도,진주시
235,48220,경상남도,통영시
236,48240,경상남도,사천시
237,48250,경상남도,김해시
238,48270,경상남도,밀양시
239,48310,경상남도,거제시
240,48330,경상남도,양산시
241,48720,경상남도,의령군
242,48730,경상남도,함안군
243,48740,경상남도,창녕군
244,48820,경상남도,고성군
245,48840,경상남도,남해군
246,48850,경상남도,하동군
247,48860,경상남도,산청군
248,48870,경상남도,함양군
249,48880,경상남도,거창군
250,48890,경상남도,합천군
251,50110,제주특별자치도,제주시
252,50130,제주특별자치도,서귀포시
